user_id,rec
1,"[ 1082212   872137 10149640   940947   878285  1102067   856942  1041796
  1115576  1004906   865456  1132771  1062002  8090541  1029743  1056509
  6034857   965766   986912  8090521  1005274  1137775   830503  1006184
   827656  5582712  8090513   823721   953561   859191   845307  1013167
  5569374 12810393   960732   997796   857006   952163  1070820   925862
  1068719   862799   963835   995965   916122  8293447  5570383   841220
   936355  1112238   896085   961979   852856  1127831   998444  5563693
   885290   965842   866871   871756  8090536  1022097   948670  6534030
  1019643   901776   972665   921504   879504   944534   971922  5568447
   916993  1000237  1002850  8090537  1020581  8090539  8273833   999270
  1138443  6514160   985999  1006878  8177622 12731714   865026  1040807
  1018740  7168026   883932  1135476  1100972  8090532   833724   823704
   912704   902172   866211   908318]"
2,"[ 1106523   899624  1082185   916122   866211   828106  1068719 12301109
  1075368   848319  1132771  5569230  1040807  1081177   909714   883932
   940947  8090537  1004906  8090521  7442008   825343   854405  8090509
   933835  1101010  5568489  1127831  1012587   874972   925862  1119405
  1021324   887102 12302069  5569845   995478   930118   906923   935317
  1020581   952163   996070  1037840  6552253  1041796  1080853  1099089
  1101706   839419   971922  1050851  1057102   829852   965267 10149640
  1008547  1089954   904129   835530  8090545   878285   999104   832678
  1137775   844179  1044078  9553288  9553397   998206  1105488   848029
   849202   985999  5568729  6463742   968072 12810422   957063   910473
  1123022  1087102   878996   885863   972665   991223  1018740  1070702
   897954  1137346   866871   819978 12810393  6534480 12811532 12263692
   845307  1079987  1042438  5582712]"
3,"[ 1106523   983584   899624   866211  1044078  1101010   965766   990797
  5569230  8090521   946839   844179   913210  5569327  9296919  1013928
 12810393   907631   832678 12648296  1127831   910032   854405   883932
   878996  1042438   951197  1042544  1070820   893018   998206  1050851
  1037840   919534  1004906  1137346 12301100  1008547  7442008   960732
  1085983   839656   874972  1119761   948650  9527159   940947   834117
   880150   847573 12263692   933835  8090537 12301109  1041796  1070702
   863447  1059902   838186   825343  9836106  1043494  1103105   848029
  1072523  5587656  1043751   908318   969568   968072  1000753  8090509
   930118   904129   902094   859154  9833277   839419  1012587   866871
   829291 12302069   823990  1025581   871061   829001  1112238  1123022
   835530 12811532   902172  1083446 12262778   861279   917816  5569845
  1020581  6442594   952163  1072799]"
6,"[ 1098844  1082185  6548453   878996 12301109  5569230  1024306  1004906
   948650  1029743  1070820  1126899   901062   986912   951412   844179
  1098248  1105488  8090537   863447  1127831  5568378   854754  1055504
   866211   832678   896613   871611  1008547  5569471  1044078   946995
   993638  1068292  5569845   874972 12262778   835300   819308   825749
   866871  9836106  1058404   934639   944486  1127179   904997   930118
   952163  8203834   965267  1023720  1135476   996070   933637   860299
  1022254  1026118   854852   908318  8090440   961979  6391381   901666
   999250   944137  1072799   944836  1127758   901776  1125278   941361
  1062128  9527159   999104   880150  1081177  1009187   835098  1051211
  1048507  1062002  1080853   995478   895166   916122  5569327  1000753
   910673  6602697   866878  1128016  1070702   831628   968072  1112238
   972143 12810464   836445   823721]"
7,"[  993638  1126899  1106523   909714  1122358   986912   866211  5568378
  1055504  6034857  1029743  8090521  9296919  5590613 12731436 12810393
  1042438   893018  1044078   944139  8090537  1062002   844179  6602729
  1127831   878996   909268  1006184  5587656   982790   825994 12384775
   985999  1020581  7024990   983584  1012587  1127179  1023720  1121393
   951412  1004906  1038985   916122  1112238   897954  5569327 12301405
  1027168  6602697   861279   907631   901062   874972  1076056   859191
  1002771 12301100 12810422 12302069   969568   838186  8090509  1079987
  1128240  1008547   917816  1074754   829291   933067  8090532   892314
   865456   859427  1103105  5569230  1056509   908318   996028   866871
  1094308   970747  1051211   995965 12811532  1021116  1124695  1024306
  1043494 12648296   934639  1000753   865174   968072   999198  1035676
   857006  1105488  1044759   827656]"
8,"[ 1044078 12301839  1029743  1068719  1105301 12302069  1004906   893018
  5569230   835098   839243  5569471  1106523   899624   916122   965766
  1050851   986912   865456 12810393  5568378   844179  1041796  9835509
  1081177   910032  1127831   946839   854852  5585510 12301100  1034176
 12301109 13189726   912704  1138443 12301073  1043751  8090521  8090537
   908318 12349795  1002771   823704   902172  7139529   985999   845307
   841220   981086  1131438   823721   904129   952163   935317  1075368
   933835  9553288  1135222   954966   887474  6442594   880150 12301405
  1137775   866755   835530  1133254   871756  1024306  8090536   849202
   999714   999104   882247  1100972  5592888  5591170  1082212   857503
   883003   897954  1087102   999858   866211   852856   990797   832678
  9836106  5981072  5569327  8090509   970747  5568197  1070845  8065410
  1131488  9245106   944137  5569845]"
9,"[ 1051323   857503  1029743  1070820  8090521   871756   862799  6534030
  5569230   982790  1056509   896085   910032   893018  5568197  1082212
   949294  1131438  9707240  1070497  1126899   983584  1068719  1037840
  1051211   899624  1122358   960732   957951   906838  6463742  5585510
  1105301   829291  1089954  5590613  1019643   865456  1135222  1038985
  1083446   833724  1042438   952163   854852   879504  1004906  6463775
   963971  1059902   999714  6442594  1101010  8020001  6533936  1042942
  8177622   916993   832678   824758  1024306  1046545  1094308  1048257
   954966  1038663  1102067  1006878  1044759   926905  9245106  1115576
  8090541  6533608  5585701  1018007  8090532  1138443  1005274  6533362
   868683  8090539   823721  5591170 10344585  1021324  1137346   914318
   969568  8090537  1042544   948670  1044188  5570383   823704  6534035
  5569471  5568489  8090509  5569845]"
10,"[  899624  1029743  1082185  1106523   983584  1092303   976199  1026118
   854852  1004906   883003   848319   949023  1081177   951412  1044078
  6391381   995965   865456  1067695   883932  1040807  1137775   916122
   933835  1138292 12810393   926905  1104349  5569327   844179  8065410
   944534  5569230   871756  1098284   857503  1127831  5585510   910032
  5569471   925862  1059902   999779   949965   916990   995628  1051323
   878996   825343   897954   852856  1042438   848029  1043751  1100972
  1094308  1097001  1000753  8090440  1016800   838186   930118  1053754
   857006   902094   982469  1022428   831628   944486   824180   960732
   902172  1137346 12810391   952972  1112238 12302069  1068292  1131438
  1070272   874972   956486   882247   823990  1102067   828106   944137
  8291322  1076056   917816   972143   843464  8090513   965267  6442594
  8020001   952163  1046545  1025535]"
13,"[ 1082185  1068719   901062  1029743  1075214  1042438  1132771  1041796
  5568729  5568378  1137346  1110218  1043751  8090521  1128016  8090509
   882604   878996  1048507  5591170  1089954  1106523   899624  1122358
  5569230  1126899  1040807  1097001  1087102  1105488  1081177  1074333
  5569471   910032   854405  1022097  1069003   861279  1004906   832678
   999714   865456  1027168   893018  1102067   912704   865528   834826
   839419  8090513  5569374  1042942  5568249   952163   941361   965267
  1070820   983584  1075368  1102416  1023720  1044078   933835   957951
  1135222  1101010  6442594  1038663 10149640   931255  5592888  5585510
   892531  1070272  5569327   852856  1056509   882247  7139529  1051211
   963971   960732  1046545  1072968  1051323  1006184   971922   998119
  1018007   857503   834117  8090532   871756   819978   823704   957063
  1018740   913210   859191   828106]"
14,"[ 1127758  1029743  1025611   933067  1122358  1130858  1044078   916122
   965766  5568378  8090521  1138443   883003  6034857  8090537  9835903
  8065410  1062002   863447   999270  1127831   832678   834117   890695
  1000753  1013928   910673  1119761  1103105  1083787   893018  5569327
  5569471   865456  1131344   995896   839419   952163   947858  1046587
  9836106  1093413   989069  6442594  1085983  1009187   846823   983584
  1025535   910032  1042907  1075214  1059902   993638  9296919  1042438
   899624   896862   856252   990797   907631 12301100   836445   871756
   866211  1133254   844179  1004906   859154  1081177  1135222   825365
  1046545   933835  1012587  1051211  9527159  1123022   957736   953561
   823704   866755  8090532  8090509   956486   841220  1068292   948670
 12384775  1105488  1072523   935317   819308  1087102   972143   897954
   999858  1070702   878996  1042544]"
